,timestamp,open,high,low,close,volume
3178,2011-02-23,161.81,162.68,160.14,160.18,5998100
3179,2011-02-22,163.57,164.26,161.78,161.95,5209300
3180,2011-02-18,164.46,164.84,164.1,164.84,4245000
3181,2011-02-17,163.3,164.67,162.85,164.24,3230500
3182,2011-02-16,163.33,163.6,162.75,163.4,3216000
3183,2011-02-15,162.89,163.57,162.52,162.84,3768700
3184,2011-02-14,164.18,164.38,162.85,163.22,4129800
3185,2011-02-11,163.98,165.01,163.31,163.85,5185200
3186,2011-02-10,163.9,165.0,163.18,164.09,5737800
3187,2011-02-09,165.62,165.97,164.1,164.65,4633600
3188,2011-02-08,164.82,166.25,164.32,166.05,5612600
3189,2011-02-07,164.08,164.99,164.02,164.82,4928100
3190,2011-02-04,163.48,164.14,163.22,164.0,3755200
3191,2011-02-03,163.16,164.2,162.81,163.53,4683400
3192,2011-02-02,163.4,163.6,162.61,163.3,3904000
3193,2011-02-01,162.11,163.94,162.0,163.56,5831300
3194,2011-01-31,159.18,162.0,158.68,162.0,7197200
3195,2011-01-28,161.05,161.9201,158.67,159.21,6725600
3196,2011-01-27,161.43,162.18,160.86,161.07,4878300
3197,2011-01-26,161.67,161.904,160.42,161.04,5353100
3198,2011-01-25,159.21,164.35,159.0,161.44,8260800
3199,2011-01-24,155.42,159.79,155.33,159.63,7285100
3200,2011-01-21,156.4,156.78,154.96,155.5,7009000
3201,2011-01-20,154.53,155.96,154.45,155.8,7439900
3202,2011-01-19,153.26,156.13,152.8301,155.69,12141000
3203,2011-01-18,149.82,151.465,149.38,150.65,9176900
3204,2011-01-14,148.89,150.0,148.47,150.0,4544200
3205,2011-01-13,149.24,149.29,148.25,148.82,3445800
3206,2011-01-12,147.99,149.29,147.67,149.1,4091500
3207,2011-01-11,148.2,148.35,146.75,147.28,4163600
3208,2011-01-10,147.58,148.06,147.23,147.64,3633400
3209,2011-01-07,148.79,148.86,146.94,147.93,4135700
3210,2011-01-06,147.13,148.79,146.82,148.66,5029200
3211,2011-01-05,147.34,147.48,146.73,147.05,4657400
3212,2011-01-04,147.56,148.22,146.64,147.64,5060100
3213,2011-01-03,147.21,148.2,147.14,147.48,4603800
3214,2010-12-31,146.73,147.07,145.96,146.76,2969800
3215,2010-12-30,146.36,147.11,146.25,146.67,3039100
3216,2010-12-29,146.0,147.5,145.71,146.52,3661100
3217,2010-12-28,145.31,146.15,145.06,145.71,2699600
3218,2010-12-27,145.12,145.7,145.0,145.34,2314700
3219,2010-12-23,145.89,146.33,145.33,145.89,2424500
3220,2010-12-22,145.66,146.4,145.58,145.95,3388800
3221,2010-12-21,144.99,145.99,144.33,145.74,3777100
3222,2010-12-20,145.39,145.54,144.39,144.51,3995000
3223,2010-12-17,144.69,145.5,144.4,145.0,10027000
3224,2010-12-16,144.84,145.32,144.15,144.55,4178600
3225,2010-12-15,145.13,145.72,144.31,144.72,4447400
3226,2010-12-14,144.26,146.01,144.26,145.82,4800800
3227,2010-12-13,145.14,145.4,144.21,144.28,4741000
3228,2010-12-10,144.88,144.95,143.73,144.82,3503800
3229,2010-12-09,145.94,145.94,143.52,144.3,4405300
3230,2010-12-08,144.35,145.65,143.84,144.98,4961400
3231,2010-12-07,146.02,146.2999,143.87,144.02,4828600
3232,2010-12-06,144.54,145.87,144.52,144.99,3321800
3233,2010-12-03,144.25,145.68,144.25,145.38,3710600
3234,2010-12-02,144.33,145.85,144.3,145.18,5374000
3235,2010-12-01,143.61,145.13,143.51,144.41,6822800
3236,2010-11-30,142.24,142.76,141.28,141.46,7674800
3237,2010-11-29,143.53,143.67,141.5,142.89,5040300
3238,2010-11-26,145.3,145.3,143.57,143.9,2081300
3239,2010-11-24,143.95,146.44,143.82,145.81,4874100
3240,2010-11-23,144.24,144.53,142.33,143.18,4570300
3241,2010-11-22,144.0,145.43,143.56,145.39,3730700
3242,2010-11-19,144.38,145.35,143.99,145.05,5015900
3243,2010-11-18,143.04,144.99,142.75,144.36,4236200
3244,2010-11-17,142.49,142.49,141.39,141.95,4785900
3245,2010-11-16,142.93,143.38,141.18,142.24,6342100
3246,2010-11-15,143.89,144.75,143.27,143.64,3827700
3247,2010-11-12,144.59,145.77,143.55,143.74,4731500
3248,2010-11-11,144.7,145.5,143.35,145.43,4752200
3249,2010-11-10,146.09,146.79,145.63,146.55,5172000
3250,2010-11-09,146.7,147.53,145.63,146.14,5700600
3251,2010-11-08,145.35,146.58,145.25,146.46,4459700
3252,2010-11-05,145.94,146.93,145.67,146.92,4995800
3253,2010-11-04,144.82,146.84,144.71,146.79,6622500
3254,2010-11-03,144.24,144.46,142.63,144.17,5182100
3255,2010-11-02,143.85,144.71,143.71,143.84,4626400
